numPNsPerKC,numPNKCsynapsesPerKC,meanWPerKC,PNDistToPedPerKC,numAPLKCsynapsesPerKC,KCindex,bodyId,subtype
8,128,16,61.2671923828125,22,612,754188980,KCg-m_R
6,86,14.3333333333333,75.189271484375,8,613,754197850,KCab-s_R
6,123,20.5,44.3545104166667,22,614,754202022,KCg-m_R
1,17,17,40.58242578125,23,615,754206396,KCg-m_R
2,23,11.5,75.8725442708333,10,617,754525744,KCa'b'-ap2_R
5,22,4.4,78.464725,15,618,754538763,KCab-c_R
8,148,18.5,54.0041298828125,24,619,754547386,KCg-m_R
6,132,22,48.0206845703125,18,620,754870859,KCg-m_R
5,47,9.4,73.51184375,15,621,754879354,KCab-c_R
5,74,14.8,72.502871875,6,623,754893183,KCa'b'-ap2_R
3,37,12.3333333333333,53.9294814453125,6,624,755173189,KCab-c_R
4,89,22.25,49.4072509765625,14,625,755177787,KCab-m_R
8,124,15.5,70.2606381835938,27,626,755229523,KCg-m_R
3,16,5.33333333333333,70.7340520833333,8,627,755234235,KCab-c_R
6,99,16.5,74.8744361979167,19,628,755544921,KCg-m_R
3,81,27,56.4287890625,10,629,755851102,KCg-m_R
4,35,8.75,58.9333564453125,7,630,755868550,KCab-c_R
4,101,25.25,62.3846259765625,25,631,756196285,KCg-m_R
4,68,17,74.9073798828125,11,633,756567539,KCab-m_R
8,104,13,57.7422700195313,9,634,756585129,KCab-m_R
4,77,19.25,75.6490810546875,9,636,766820559,KCab-m_R
5,83,16.6,71.86417265625,7,637,767161652,KCab-m_R
7,53,7.57142857142857,77.6827053571429,14,640,767502579,KCab-c_R
3,33,11,65.8819466145833,10,641,767502627,KCab-c_R
4,17,4.25,56.8688818359375,9,642,767502639,KCab-c_R
6,31,5.16666666666667,83.6104123883929,10,643,767502657,KCab-c_R
2,25,12.5,77.6689453125,10,644,767502667,KCab-c_R
4,46,11.5,55.0448291015625,7,645,767852204,KCa'b'-m_R
5,40,8,75.7118984375,9,646,768184496,KCa'b'-m_R
6,106,17.6666666666667,71.99508203125,18,647,768184604,KCa'b'-ap2_R
3,57,19,71.2308125,12,648,768184623,KCa'b'-m_R
4,117,29.25,69.1723837890625,12,650,768525608,KCa'b'-ap2_R
5,77,15.4,75.8022486979167,13,651,768525647,KCa'b'-ap2_R
10,146,14.6,76.2099968039773,17,653,784204967,KCg-m_R
6,147,24.5,83.0492135416667,28,656,784541854,KCg-m_R
4,45,11.25,58.6253369140625,11,658,784844112,KCab-c_R
3,39,13,61.7105338541667,18,659,784882707,KCab-c_R
6,92,15.3333333333333,90.1105286458333,19,660,784895866,KCg-m_R
5,111,22.2,57.7641171875,16,661,785189156,KCab-m_R
5,106,21.2,57.270746875,5,662,785198372,KCab-m_R
4,30,7.5,64.1257125,14,663,785232629,KCab-c_R
5,123,24.6,72.1188020833333,16,664,785232649,KCg-m_R
3,78,26,56.5329677734375,8,665,785525736,KCab-m_R
4,71,17.75,71.4268369140625,7,666,785573850,KCab-s_R
3,15,5,60.17803125,9,667,785888696,KCab-c_R
8,139,17.375,42.9611984863281,21,668,785914742,KCg-m_R
3,60,20,60.1357083333333,10,670,786221078,KCab-m_R
7,98,14,72.36612890625,10,672,786929029,KCab-s_R
4,57,14.25,55.52114453125,11,673,797514653,KCab-m_R
4,58,14.5,60.51739453125,3,674,797855394,KCab-m_R
2,44,22,72.53646875,11,675,798192091,KCab-m_R
3,56,18.6666666666667,52.438708984375,10,676,798192115,KCab-m_R
4,70,17.5,85.7689775390625,8,677,798192162,KCab-c_R
7,88,12.5714285714286,72.5150502232143,9,678,798196366,KCab-m_R
3,49,16.3333333333333,56.65955078125,11,679,798196389,KCab-m_R
4,79,19.75,59.7042563476562,10,680,798196454,KCab-m_R
5,56,11.2,69.7276625,11,681,798196461,KCab-c_R
5,33,6.6,86.09964375,8,682,798528850,KCa'b'-m_R
1,4,4,64.174017578125,6,683,798533259,KCab-c_R
3,32,10.6666666666667,73.02427734375,10,684,798537392,KCab-c_R
7,33,4.71428571428571,73.22861328125,8,685,798537456,KCab-c_R
2,12,6,68.66757421875,8,686,798537538,KCab-c_R
4,69,17.25,83.04523046875,14,688,798537638,KCab-c_R
4,18,4.5,64.08834296875,10,689,798537701,KCab-c_R
5,83,16.6,101.6411046875,7,690,798869986,KCab-s_R
5,59,11.8,74.8798893229167,6,691,798874090,KCab-s_R
5,67,13.4,85.33617109375,22,693,799219511,KCa'b'-m_R
7,81,11.5714285714286,88.3590530133929,7,695,799560834,KCa'b'-m_R
6,88,14.6666666666667,67.96735546875,10,697,799906141,KCa'b'-ap2_R
3,42,14,56.9099755859375,12,699,815240159,KCab-m_R
6,133,22.1666666666667,74.4594544270833,20,701,815580911,KCg-m_R
3,29,9.66666666666667,54.8783564453125,10,702,815585355,KCab-c_R
5,81,16.2,75.2385578125,18,703,815909099,KCg-m_R
4,20,5,64.1663444010417,13,704,815921891,KCab-c_R
6,84,14,64.9213502604167,11,705,815922095,KCab-s_R
4,93,23.25,58.1020830078125,34,706,815922112,KCg-m_R
3,34,11.3333333333333,66.62788671875,16,707,815926323,KCab-c_R
5,71,14.2,52.773210546875,10,708,815926332,KCab-m_R
3,50,16.6666666666667,69.9345638020833,11,709,815926346,KCab-c_R
